PLAZA CODE,PLAZA NAME,CONCESSIONAIRE TYPE,PLAZA SUB TYPE,STATE,CITY,LATITUDE,LONGITUDE
536627,Jamnipali Toll Plaza,PF,NATIONAL,Chhattisgarh,Korba,22.1189716,82.68531967
536707,Baiji Toll Plaza,PF,NATIONAL,Chhattisgarh,Bilaspur,21.771229,81.502337
545104,Tarapoungi  Toll Plaza,PF.,NATIONAL,Chhattisgarh,Raipur,21.48295722,81.69098972
545106,Mudiyapara Fee Plaza,PF,NATIONAL,Chhattisgarh,Bodla,22.155822,81.228744
545107,Limha Toll Plaza,PF,NATIONAL,Chhattisgarh,Bilaspur,22.289296,82.30303
545108,Jhalmala Toll Plaza,PF,NATIONAL,Chhattisgarh,Raigarh,21.817222,83.434444
545110,Lodam Toll Plaza,PF,NATIONAL,Chhattisgarh,Jashpur,22.954331,84.36013
545111,Maharajpur Toll Plaza,PF,NATIONAL,Chhattisgarh,Manendra,23.29528,82.383803
546026,Madanpur Toll Plaza,PF,NATIONAL,Chhattisgarh,Katghora,22.454908,82.483176
7002,IGI Toll Plaza,Conc.,NATIONAL,Delhi,New Delhi,28.543853,77.115435
311001,Akshardham Toll Plaza,PF,NATIONAL,Delhi,New Delhi,28.612334,77.281911
311002,Ghazipur Toll Plaza,PF,NATIONAL,Delhi,New Delhi,28.625378,77.312168
311003,Sarai Kale Khan DME Toll Plaza,PF,NATIONAL,Delhi,Delhi,28.598968,77.258226
311004,CWG Flyover Plaza DME Km-1500 Toll Plaza,PF,NATIONAL,Delhi,Delhi,28.603991,77.269563
311005,Indirapuram Plaza DME Km-9500 Toll Plaza,PF,NATIONAL,Delhi,Delhi,28.632236,77.344611
536618,Mundka Toll Plaza,PF,NATIONAL,Delhi,Mundka,28.6734,77.0108
910002,Mundka Toll Plaza,PF,NATIONAL,Delhi,Delhi,28.673459,77.010802
536517,Mormugao port Toll Plaza,BOT,NATIONAL,Goa,Mormugao,15.4077288,73.7902793
536659,Sukekulan Mopa Toll Plaza,PF,NATIONAL,Goa,Dhargal,15.689516,73.837917
1002,L&T Vadodra Toll Plaza,Conc.,NATIONAL,Gujarat,Vadodara,22.015027,73.115049
2001,Boriach Toll Plaza,PF,NATIONAL,Gujarat,Navsari,20.885548,73.052162
2003,Bhagwada Toll Plaza,PF,NATIONAL,Gujarat,Valsad,20.43495,72.917204
2004,Choryasi Toll Plaza,PF,NATIONAL,Gujarat,Surat,21.303367,72.95418
2005,Ahmedabad Toll Plaza,Conc.,NATIONAL,Gujarat,Ahmedabad,22.975793,72.650335
2006,Ahmedabad (Ring Road) Toll Plaza,Conc.,NATIONAL,Gujarat,Ahmedabad,22.973846,72.473028
2007,Nadiad Toll Plaza,Conc.,NATIONAL,Gujarat,Kheda,22.696475,72.896397
2008,Anand Toll Plaza,Conc.,NATIONAL,Gujarat,Anand,22.594556,72.981298
2009,Vadodara Toll Plaza,Conc.,NATIONAL,Gujarat,Vadodara,22.413798,73.149308
2010,Ahmedabad Ring Road-2 Toll Plaza,Conc.,NATIONAL,Gujarat,Ahmedabad,22.9713406,72.6613226
2011,Kheda Toll Plaza,Conc.,NATIONAL,Gujarat,Kheda,22.715938,72.740905
2012,Vasad Toll Plaza,Conc.,NATIONAL,Gujarat,Anand,22.453302,73.070523
52001,Pithadiya Toll Plaza,Conc.,NATIONAL,Gujarat,Rajkot,22.082642,70.781004
52002,Bharudi Toll Plaza,Conc.,NATIONAL,Gujarat,Rajkot,21.805381,70.663976
63001,Bhatwada Toll Plaza,Conc.,NATIONAL,Gujarat,Dahod,22.79296,73.842845
96001,Surajbari Toll Plaza,TOT,NATIONAL,Gujarat,Kutch,23.233738,70.689457
97001,Vaghasiya Toll Plaza,TOT,NATIONAL,Gujarat,Morbi,22.42301,71.088805
98001,Vanana Toll Plaza,TOT,NATIONAL,Gujarat,Porbandar,21.664929,69.709536
99001,Dhumiyani Toll Plaza,TOT,NATIONAL,Gujarat,Rajkot,21.751451,70.326793
100001,Samakhiali Toll Plaza,Conc.,NATIONAL,Gujarat,Kutch,23.308555,70.49059
217001,Bhatia  Toll Plaza,Conc.,NATIONAL,Gujarat,Surat,21.090354,72.922502
217002,Mandal Toll Plaza,Conc.,NATIONAL,Gujarat,Tapi,21.134892,73.478457
243001,Mujras Toll Plaza,Conc.,NATIONAL,Gujarat,Ahmedabad,25.2747754,74.4927949
336005,KHEMANA TOLL PLAZA,PF,NATIONAL,Gujarat,Banaskantha,24.241335,72.462709
336006,Mandva Toll Plaza,PF,NATIONAL,Gujarat,Ankleshwa,21.7016001,73.0609234
336007,Vantada Toll Plaza,PF,NATIONAL,Gujarat,Aravalli,23.61615,73.254472
336008,Kuchadi Toll Plaza,PF,NATIONAL,Gujarat,Porbander,21.69753663,69.53280984
336009,Okhamadi Toll Plaza,PF,NATIONAL,Gujarat,Dwarka,22.08019901,69.13387008
336010,Dari  Toll Plaza,PF,NATIONAL,Gujarat,Gir Somna,20.961278,70.334386
336011,Varahi Toll Plaza,PF,NATIONAL,Gujarat,Patan,23.791235,71.427581
336012,Makhel Toll Plaza,PF,NATIONAL,Gujarat,Kutch,23.490455,70.942639
336013,Bhiladi Toll Plaza,PF,NATIONAL,Gujarat,Banaskantha,24.143877,71.977151
336014,Bhalgam Toll Plaza,PF,NATIONAL,Gujarat,Banaskantha,23.912345,71.783983
336015,Gadoi  Toll Plaza,PF,NATIONAL,Gujarat,Junagadh,21.425234,70.295437
336016,Pithai Toll Plaza,PF,NATIONAL,Gujarat,Kheda,22.912793,72.957362
336017,Vavadi Toll Plaza,PF,NATIONAL,Gujarat,Panchmahal,22.792571,73.533274
336018,Mokha Toll Plaza,PF,NATIONAL,Gujarat,Kutch,22.934663,69.801655
336019,Kathpur Toll Plaza,PF,NATIONAL,Gujarat,Sabarkantha,23.410181,72.828618
336020,Kobadi Toll Plaza,PF,NATIONAL,Gujarat,Bhavnagar,21.61976,72.14159333
336021,Nageshri Toll Plaza,PF,NATIONAL,Gujarat,Nageshri,20.9166056,71.3220944
336022,Gorsar Toll Plaza,PF,NATIONAL,Gujarat,Gorsar,21.31811111,69.90972222
336023,Bhordu Toll Plaza,PF,NATIONAL,Gujarat,Bhordu,24.494001,72.268802
336024,Panthawada toll plaza,PF,NATIONAL,Gujarat,Panthawa,24.447519,71.752014
336025,Bhadbhid Fee Plaza,PF,NATIONAL,Gujarat,Bhavnagar,21.985168,72.09187
336026,Dharampur Danta Toll Plaza,PF,NATIONAL,Gujarat,Jamkhamb,22.248046,69.684218
536002,HSTL TP01-Khadki Toll Plaza,Conc.,STATE,Gujarat,Khadki,22.6479969,73.5197764
536003,HSTLTP02-Gaman Bariyanamuvada Toll Plaza,Conc.,STATE,Gujarat,Gaman Ba,23.0127692,73.6180402
536004,HSTL TP03-Galiya Danti Toll Plaza,Conc.,STATE,Gujarat,Galiya Dan,23.3639618,73.5152351
536005,HSTL TP04-Gajan Toll Plaza,Conc.,STATE,Gujarat,Gajan,23.5051103,73.3033763
536006,Bamanbore TOLL PLAZA,PF,STATE,Gujarat,Surendranagar,22.4097,71.0155
536007,Bagodara TOLL PLAZA,PF,STATE,Gujarat,Ahmedabad,22.6307,72.1793
536008,AMTL-TP-01 Vasna-Iyava,Conc.,STATE,Gujarat,Vasna-Iyav,23.0073,72.3477
536009,AMTL-TP02-Malvan Toll Plaza,Conc.,STATE,Gujarat,Malvan,23.0709,71.785
536010,AMTL-TP03-Soldi Toll Plaza,Conc.,STATE,Gujarat,Soldi,23.0009,71.3728
536011,AMTL-TP04-Aniyari Toll Plaza,Conc.,STATE,Gujarat,Aniyari,23.0725,70.8583
536012,Vanpari-Paddhari Toll Plaza,Conc.,STATE,Gujarat,Rajkot,22.4460011,70.5835058
536013,Soyal Toll Plaza,Conc.,STATE,Gujarat,Jamnagar,22.5501006,70.3491712
536014,Jamnagar Bypass-Vadinar Toll Plaza,Conc.,STATE,Gujarat,Jamnagar,22.4271343,69.9139827
536015,Bochasan Toll Plaza,Conc.,STATE,Gujarat,Anand,22.413346,72.8518924
536017,Vataman Toll Plaza,PF,STATE,Gujarat,Vataman,22.50433,72.42652
536018,Vadodra Toll Plaza,Conc.,STATE,Gujarat,Vadodra,22.353256,73.236924
536019,Halol Toll Plaza,Conc.,STATE,Gujarat,Halol,22.489873,73.465586
536020,Adalaj Toll Plaza,Conc.,STATE,Gujarat,Adalaj,23.18649,72.5602
536021,Mehsana Toll Plaza,Conc.,STATE,Gujarat,Mehsana,23.52749,72.38813
536022,Alva Toll Plaza,Conc.,STATE,Gujarat,Bayad,23.2730374,73.2044535
536023,Bakrol Toll Plaza,Conc.,STATE,Gujarat,Ahmedabad,22.93523,72.51976
536024,Kansari Toll Plaza,BOT,STATE,Gujarat,Deesa,24.31493,72.1462
